Albania,Lek,ALL,8
Algeria,Algerian Dinar,DZD,12
American Samoa,US Dollar,USD,840
Andorra,Euro,EUR,978
Angola,Kwanza,AOA,973
Anguilla,East Caribbean Dollar,XCD,951
Antigua,East Caribbean Dollar,XCD,951
Argentina,Argentine Peso,ARS,32
Armenia,Armenian Dram,AMD,51
Aruba,Aruban Guilder,AWG,533
Australia,Australian Dollar,AUD,36
Austria,Euro,EUR,978
Azerbaijan,Azerbaijan Manat,AZN,31
Bahamas,Bahamian Dollar,BSD,44
Bahrain,Bahraini Dinar,BHD,48
Bangladesh,Taka,BDT,50
Barbados,Barbados Dollar,BBD,52
Belarus,Belarusian Ruble,BYR,974
Belgium,Euro,EUR,978
Belize,Belize Dollar,BZD,84
Benin,CFA Franc BCEAO,XOF,952
Bermuda,Bermudian Dollar,BMD,60
Bhutan,Ngultrum,BTN,64
Bolivia,Boliviano,BOB,68
BosniaHerzegovina,Convertible Mark,BAM,977
Botswana,Pula,BWP,72
Brazil,Brazilian Real,BRL,986
Brunei Darussalam,Brunei Dollar,BND,96
Bulgaria,Bulgarian Lev,BGN,975
Burkina Faso,CFA Franc BCEAO,XOF,952
Burundi,Burundi Franc,BIF,108
Cambodia,Riel,KHR,116
 Cambodia,US Dollar,USD,
Cameroon,CFA Franc BEAC,XAF,950
Canada,Canadian Dollar,CAD,124
Cape Verde,Cape Verde Escudo,CVE,132
Cayman Islands,Cayman Islands Dollar,KYD,136
Central African Republic,CFA Franc BEAC,XAF,950
Chad,CFA Franc BEAC,XAF,950
Chile,Chilean Peso,CLP,152
China,Renminbi (Yuan),CNY,156
Christmas Island,Australian Dollar,AUD,36
Cocos (Keeling) Islands,Australian Dollar,AUD,36
Colombia,Colombian Peso,COP,170
Comoros,Comoro Franc,KMF,174
"Congo, Dem. Republic",Franc Congolais,CDF,976
"Congo, Republic of",CFA Franc BEAC,XAF,950
Cook Islands,New Zealand Dollar,NZD,554
Costa Rica,Costa Rican Col¢n,CRC,188
Cote D'Ivoire,CFA Franc BCEAO,XOF,952
Croatia/Hrvatska,Croatian Kuna,HRK,191
Cuba,Cuban Peso,CUP,192
Cyprus,Euro,EUR,978
Czech Republic,Czech Koruna,CZK,203
Denmark,Danish Krone,DKK,208
Djibouti,Djibouti Franc,DJF,262
Dominica,East Caribbean Dollar,XCD,951
Dominican Republic,Dominican Peso,DOP,214
Afghanistan,Afghani,AFN,971
Barbuda,East Caribbean Dollar,XCD,951
Herzegovina,Convertible Mark,BAM,977
Ecuador,US Dollar,USD,840
Egypt,Egyptian Pound,EGP,818
El Salvador,Salvadoran Col¢n,SVC,222
El Salvador,US Dollar,USD,840
Equatorial Guinea,CFA Franc BEAC,XAF,950
Eritrea,Nakfa,ERN,232
Estonia,Euro,EEK,233
Ethiopia,Ethiopian Birr,ETB,230
Falkland Islands (Malvinas),Falkland Islands Pound,FKP,238
Faroe Islands,"Faroese Kr¢na, a version of the Danish krone",DKK,
Fiji,Fiji Dollar,FJD,242
Finland,Euro,EUR,978
France,Euro,EUR,978
French Guiana,Euro,EUR,978
French Polynesia,CFP Franc,XPF,953
French Southern Territories,Euro,EUR,978
Gabon,CFA Franc BEAC,XAF,950
Gambia,Dalasi,GMD,270
Georgia,Lari,GEL,981
Germany,Euro,EUR,978
Ghana,Cedi,GHC,288
Gibraltar,Gibraltar Pound,GIP,292
Greece,Euro,EUR,978
Greenland,Danish Krone,DKK,208
Grenada,East Caribbean Dollar,XCD,951
Guadeloupe,Euro,EUR,978
Guam,US Dollar,USD,840
Guatemala,Quetzal,GTQ,320
Guinea,Guinea Franc,GNF,324
Guinea-Bissau,Guinea-Bissau Peso,GWP,624
Guyana,Guyana Dollar,GYD,328
Haiti,Haitian Gourde,HTG,332
Haiti,US Dollar,USD,840
Holy See,Euro,EUR,978
Honduras,Lempira,HNL,340
Hong Kong,Hong Kong Dollar,HKD,344
Hungary,Forint,HUF,348
Iceland,Iceland Krona,ISK,352
India,Indian Rupee,INR,356
Indonesia,Rupiah,IDR,360
Iran,Iranian Rial,IRR,364
Iraq,Iraqi Dinar,IQD,368
Ireland,Euro,EUR,978
Israel,New Israeli Sheqel,ILS,376
Italy,Euro,EUR,978
Jamaica,Jamaican Dollar,JMD,388
Japan,Yen,JPY,392
Jordan,Jordanian Dinar,JOD,400
Kazakhstan,Tenge,KZT,398
