ÿ Albania,ÿ Albania,Lek,ALL,8
ÿ Algeria,ÿ Algeria,Algerian Dinar,DZD,12
ÿ American Samoa,ÿ American Samoa,US Dollar,USD,840
ÿ Andorra,ÿ Andorra,Euro,EUR,978
ÿ Angola,ÿ Angola,Kwanza,AOA,973
Anguilla,Anguilla,East Caribbean Dollar,XCD,951
ÿ Antarctica,ÿ Antarctica,None,,
ÿ Antigua,ÿ Antigua,East Caribbean Dollar,XCD,951
ÿ Argentina,ÿ Argentina,Argentine Peso,ARS,32
ÿ Armenia,ÿ Armenia,Armenian Dram,AMD,51
ÿ Aruba,ÿ Aruba,Aruban Guilder,AWG,533
ÿ Australia,ÿ Australia,Australian Dollar,AUD,36
ÿ Austria,ÿ Austria,Euro,EUR,978
ÿ Azerbaijan,ÿ Azerbaijan,"Azerbaijan Manat; Beginning January 2006, 1 new Manat (AZN) = 5000 old Manats (AZM).",AZN,31
ÿ Bahamas,ÿ Bahamas,Bahamian Dollar,BSD,44
ÿ Bahrain,ÿ Bahrain,Bahraini Dinar,BHD,48
ÿ Bangladesh,ÿ Bangladesh,Taka,BDT,50
ÿ Barbados,ÿ Barbados,Barbados Dollar,BBD,52
ÿ Belarus,ÿ Belarus,Belarusian Ruble,BYR,974
ÿ Belgium,ÿ Belgium,Euro,EUR,978
ÿ Belize,ÿ Belize,Belize Dollar,BZD,84
ÿ Benin,,CFA Franc BCEAO,XOF,952
ÿ Bermuda,,Bermudian Dollar,BMD,60
ÿ Bhutan,,Ngultrum,BTN,64
ÿ Bolivia,,Boliviano,BOB,68
ÿ BosniaHerzegovina,,Convertible Mark,BAM,977
ÿ Botswana,,Pula,BWP,72
ÿ Brazil,,Brazilian Real,BRL,986
ÿ Brunei Darussalam,,Brunei Dollar,BND,96
ÿ Bulgaria,,Bulgarian Lev,BGN,975
ÿ Burkina Faso,,CFA Franc BCEAO,XOF,952
ÿ Burundi,,Burundi Franc,BIF,108
ÿ Cambodia,,Riel,KHR,116
 Cambodia,,US Dollar,USD,
ÿ Cameroon,,CFA Franc BEAC,XAF,950
ÿ Canada,,Canadian Dollar,CAD,124
ÿ Cape Verde,,Cape Verde Escudo,CVE,132
ÿ Cayman Islands,,Cayman Islands Dollar,KYD,136
ÿ Central African Republic,,CFA Franc BEAC,XAF,950
ÿ Chad,,CFA Franc BEAC,XAF,950
ÿ Chile,,Chilean Peso,CLP,152
ÿ China,,Renminbi (Yuan),CNY,156
ÿ Christmas Island,,Australian Dollar,AUD,36
ÿ Cocos (Keeling) Islands,,Australian Dollar,AUD,36
ÿ Colombia,,Colombian Peso,COP,170
ÿ Comoros,,Comoro Franc,KMF,174
"ÿ Congo, Dem. Republic",,Franc Congolais,CDF,976
"ÿ Congo, Republic of",,CFA Franc BEAC,XAF,950
ÿ Cook Islands,,New Zealand Dollar,NZD,554
ÿ Costa Rica,,Costa Rican Col¢n,CRC,188
ÿ Cote D'Ivoire,,CFA Franc BCEAO,XOF,952
ÿ Croatia/Hrvatska,,Croatian Kuna,HRK,191
ÿ Cuba,,Cuban Peso,CUP,192
ÿ Cyprus,,Euro,EUR,978
ÿ Czech Republic,,Czech Koruna,CZK,203
ÿ Denmark,,Danish Krone,DKK,208
ÿ Djibouti,,Djibouti Franc,DJF,262
ÿ Dominica,,East Caribbean Dollar,XCD,951
ÿ Dominican Republic,,Dominican Peso,DOP,214
Afghanistan,,Afghani,AFN,971
Barbuda,,East Caribbean Dollar,XCD,951
Herzegovina,,Convertible Mark,BAM,977
ÿ Ecuador,,US Dollar,USD,840
ÿ Egypt,,Egyptian Pound,EGP,818
ÿ El Salvador,,Salvadoran Col¢n,SVC,222
El Salvador,,US Dollar,USD,840
ÿ Equatorial Guinea,,CFA Franc BEAC,XAF,950
ÿ Eritrea,,Nakfa,ERN,232
ÿ Estonia,,Euro replaced Estonian Kroon in 2011.,EEK,233
ÿ Ethiopia,,Ethiopian Birr,ETB,230
ÿ Falkland Islands (Malvinas),,Falkland Islands Pound,FKP,238
ÿ Faroe Islands,,"Faroese Kr¢na, a version of the Danish krone",DKK,-
ÿ Fiji,,Fiji Dollar,FJD,242
ÿ Finland,,Euro,EUR,978
ÿ France,,Euro,EUR,978
ÿ French Guiana,,Euro,EUR,978
ÿ French Polynesia,,CFP Franc,XPF,953
ÿ French Southern Territories,,Euro,EUR,978
ÿ Gabon,,CFA Franc BEAC,XAF,950
ÿ Gambia,,Dalasi,GMD,270
ÿ Georgia,,Lari,GEL,981
ÿ Germany,,Euro,EUR,978
ÿ Ghana,,Cedi,GHC,288
Gibraltar,,Gibraltar Pound,GIP,292
ÿ Greece,,Euro,EUR,978
ÿ Greenland,,Danish Krone,DKK,208
ÿ Grenada,,East Caribbean Dollar,XCD,951
ÿ Guadeloupe,,Euro,EUR,978
ÿ Guam,,US Dollar,USD,840
ÿ Guatemala,,Quetzal,GTQ,320
ÿ Guinea,,Guinea Franc,GNF,324
ÿ Guinea-Bissau,,Guinea-Bissau Peso,GWP,624
ÿ Guyana,,Guyana Dollar,GYD,328
ÿ Haiti,,Haitian Gourde,HTG,332
Haiti,,US Dollar,USD,840
